device,videoA,videoB,score
iPad Pro 2 12.9,273,278,0
iPad Pro 2 12.9,213,209,-1
iPad Pro 2 12.9,317,314,0
iPhone X,209,201,0
iPad Pro 2 12.9,102,98,-2
iPad Pro 2 12.9,350,356,-2
iPad Pro 2 12.9,316,312,-1
iPad Pro 2 12.9,288,292,1
iPad Pro 2 12.9,288,293,1
iPad Pro 2 12.9,78,73,-2
iPad Pro 2 12.9,348,356,1
iPad Pro 2 12.9,217,221,2
iPad Pro 2 12.9,356,350,2
iPad Pro 2 12.9,302,304,-1
iPad Pro 2 12.9,86,90,2
iPad Pro 2 12.9,95,100,2
iPad Pro 2 12.9,338,337,0
iPad Pro 2 12.9,308,302,0
iPad Pro 2 12.9,205,202,0
iPad Pro 2 12.9,305,301,0
iPad Air,98,102,2
iPad Air,310,314,0
iPad Air,6,4,-1
iPad Pro 2 12.9,310,314,0
iPad Pro 2 12.9,212,221,2
iPad Pro 2 12.9,342,335,0
iPhone 7,299,297,0
iPad Pro 2 12.9,349,351,2
iPad Pro 2 12.9,91,92,-2
iPad Pro 2 12.9,209,207,-2
iPad Pro 2 12.9,312,320,0
iPad Pro 2 12.9,311,309,0
iPad Pro 2 12.9,291,294,-2
iPad Pro 2 12.9,312,311,0
iPad Pro 2 12.9,100,106,-2
iPad Pro 2 12.9,320,309,0
iPad Pro 2 12.9,354,356,-2
iPad Pro 2 12.9,311,317,2
iPad Pro 2 12.9,102,105,-2
iPhone 7,7,2,-1
iPhone 7,335,340,2
iPhone 7,232,230,1
iPhone 7,311,320,0
iPhone 7,92,87,0
iPhone 7,46,2,1
iPhone 7,207,206,0
iPhone 7,222,217,0
iPhone 7,103,100,0
iPhone 7,89,81,-2
iPad Air,350,354,0
iPad Pro 2 12.9,353,351,0
iPad Air,344,343,-2
iPad Pro 2 12.9,226,234,-2
iPad Air,7,3,0
iPad Pro 2 12.9,355,349,2
iPad Air,309,311,0
iPad Pro 2 12.9,5,4,2
iPad Pro 2 12.9,78,74,-2
iPad Pro 2 12.9,341,342,1
iPad Air,104,101,0
iPad Pro 2 12.9,346,345,-2
iPad Pro 2 12.9,346,347,-2
iPad Air,339,343,-1
iPad Pro 2 12.9,202,213,2
iPad Air,229,227,-2
iPad Pro 2 12.9,334,337,1
iPad Pro 2 12.9,83,90,2
iPad Air,92,93,2
iPad Pro 2 12.9,335,341,2
iPad Pro 2 12.9,299,301,2
iPad Pro 2 12.9,295,306,1
iPad Pro 2 12.9,104,96,-2
iPad Air,89,90,1
iPad Pro 2 12.9,336,344,1
iPad Pro 2 12.9,216,215,1
iPad Pro 2 12.9,308,300,1
iPad Pro 2 12.9,94,89,2
iPad Pro 2 12.9,351,345,-2
iPad Air,310,316,0
iPad Pro 2 12.9,235,231,-1
iPad Air,202,206,0
iPad Pro 2 12.9,335,340,2
iPad Pro 2 12.9,104,99,-2
iPad Pro 2 12.9,77,73,-2
iPad Air,49,7,0
iPad Pro 2 12.9,319,311,1
iPad Pro 2 12.9,221,223,2
iPad Pro 2 12.9,309,310,1
iPad Pro 2 12.9,344,343,-2
iPad Pro 2 12.9,79,75,-2
iPad Air,294,290,0
iPad Pro 2 12.9,48,9,-1
iPad Air,234,231,2
iPad Air,353,349,-1
iPad Pro 2 12.9,88,92,-2
iPad Pro 2 12.9,9,8,1
iPad Pro 2 12.9,203,206,2
iPad Pro 2 12.9,209,206,-1
iPad Pro 2 12.9,233,228,-2
iPad Pro 2 12.9,228,227,-2
iPad Pro 2 12.9,300,306,2
