id,bitrate,codec,color_space,name,eotf,frame_rate,original_height,original_width,output_height,output_width
1,5300,HEVC,bt.709,2016WSOBV,SDR,60,1080,1920,720,1280
2,8000,HEVC,bt.709,2016WSOBV,SDR,60,1080,1920,1080,1920
3,3500,HEVC,bt.709,2016WSOBV,SDR,60,1080,1920,720,1280
4,2200,HEVC,bt.709,2016WSOBV,SDR,60,1080,1920,720,1280
5,850,HEVC,bt.709,2016WSOBV,SDR,29,1080,1920,720,1280
6,3500,HEVC,bt.709,2016WSOBV,SDR,60,1080,1920,1080,1920
7,5300,HEVC,bt.709,2016WSOBV,SDR,60,1080,1920,1080,1920
8,850,HEVC,bt.709,2016WSOBV,SDR,29,1080,1920,360,640
9,1300,HEVC,bt.709,2016WSOBV,SDR,29,1080,1920,540,960
10,1300,AVC,bt.709,ABlueMoon,SDR,24,1080,1920,720,1280
11,2000,AVC,bt.709,ABlueMoon,SDR,24,1080,1920,720,1280
12,3000,AVC,bt.709,ABlueMoon,SDR,24,1080,1920,720,1280
13,4500,AVC,bt.709,ABlueMoon,SDR,24,1080,1920,720,1280
14,850,AVC,bt.709,ABlueMoon,SDR,24,1080,1920,720,1280
15,3000,AVC,bt.709,ABlueMoon,SDR,24,1080,1920,1080,1920
16,4500,AVC,bt.709,ABlueMoon,SDR,24,1080,1920,1080,1920
17,7000,AVC,bt.709,ABlueMoon,SDR,24,1080,1920,1080,1920
18,1300,AVC,bt.709,ABlueMoon,SDR,24,1080,1920,540,960
19,850,AVC,bt.709,ABlueMoon,SDR,24,1080,1920,360,640
20,1300,HEVC,bt.709,AdInsertLoop1,SDR,29,1080,1920,720,1280
21,2200,HEVC,bt.709,AdInsertLoop1,SDR,29,1080,1920,720,1280
22,850,HEVC,bt.709,AdInsertLoop1,SDR,29,1080,1920,720,1280
23,1300,HEVC,bt.709,AdInsertLoop1,SDR,60,1080,1920,720,1280
24,2200,HEVC,bt.709,AdInsertLoop1,SDR,60,1080,1920,720,1280
25,3500,HEVC,bt.709,AdInsertLoop1,SDR,60,1080,1920,720,1280
26,5300,HEVC,bt.709,AdInsertLoop1,SDR,60,1080,1920,720,1280
27,3500,HEVC,bt.709,AdInsertLoop1,SDR,60,1080,1920,1080,1920
28,5300,HEVC,bt.709,AdInsertLoop1,SDR,60,1080,1920,1080,1920
29,8000,HEVC,bt.709,AdInsertLoop1,SDR,60,1080,1920,1080,1920
30,850,HEVC,bt.709,AdInsertLoop1,SDR,29,1080,1920,360,640
31,1300,HEVC,bt.709,AdInsertLoop1,SDR,29,1080,1920,540,960
32,1300,HEVC,bt.709,AdInsertLoop2,SDR,29,1080,1920,720,1280
33,2200,HEVC,bt.709,AdInsertLoop2,SDR,29,1080,1920,720,1280
34,850,HEVC,bt.709,AdInsertLoop2,SDR,29,1080,1920,720,1280
35,1300,HEVC,bt.709,AdInsertLoop2,SDR,60,1080,1920,720,1280
36,2200,HEVC,bt.709,AdInsertLoop2,SDR,60,1080,1920,720,1280
37,3500,HEVC,bt.709,AdInsertLoop2,SDR,60,1080,1920,1080,1920
38,5300,HEVC,bt.709,AdInsertLoop2,SDR,60,1080,1920,1080,1920
39,8000,HEVC,bt.709,AdInsertLoop2,SDR,60,1080,1920,1080,1920
40,850,HEVC,bt.709,AdInsertLoop2,SDR,29,1080,1920,360,640
41,1300,HEVC,bt.709,AdInsertLoop2,SDR,29,1080,1920,540,960
42,1300,HEVC,bt.709,BlizzCon,SDR,29,1080,1920,720,1280
43,2200,HEVC,bt.709,BlizzCon,SDR,29,1080,1920,720,1280
44,850,HEVC,bt.709,BlizzCon,SDR,29,1080,1920,720,1280
45,3500,HEVC,bt.709,AdInsertLoop2,SDR,60,1080,1920,720,1280
46,1300,HEVC,bt.709,2016WSOBV,SDR,60,1080,1920,720,1280
47,1300,HEVC,bt.709,BlizzCon,SDR,60,1080,1920,720,1280
48,1300,HEVC,bt.709,2016WSOBV,SDR,29,1080,1920,720,1280
49,2200,HEVC,bt.709,2016WSOBV,SDR,29,1080,1920,720,1280
50,5300,HEVC,bt.709,AdInsertLoop2,SDR,60,1080,1920,720,1280
51,2200,HEVC,bt.709,BlizzCon,SDR,60,1080,1920,720,1280
52,3500,HEVC,bt.709,BlizzCon,SDR,60,1080,1920,720,1280
53,5300,HEVC,bt.709,BlizzCon,SDR,60,1080,1920,720,1280
54,3500,HEVC,bt.709,BlizzCon,SDR,60,1080,1920,1080,1920
55,5300,HEVC,bt.709,BlizzCon,SDR,60,1080,1920,1080,1920
56,8000,HEVC,bt.709,BlizzCon,SDR,60,1080,1920,1080,1920
57,1300,HEVC,bt.709,ByronNelson1,SDR,29,1080,1920,720,1280
58,1300,HEVC,bt.709,BlizzCon,SDR,29,1080,1920,540,960
59,850,HEVC,bt.709,BlizzCon,SDR,29,1080,1920,360,640
60,2200,HEVC,bt.709,ByronNelson1,SDR,29,1080,1920,720,1280
61,850,HEVC,bt.709,ByronNelson1,SDR,29,1080,1920,720,1280
62,1300,HEVC,bt.709,ByronNelson1,SDR,60,1080,1920,720,1280
63,2200,HEVC,bt.709,ByronNelson1,SDR,60,1080,1920,720,1280
64,3500,HEVC,bt.709,ByronNelson1,SDR,60,1080,1920,720,1280
65,5300,HEVC,bt.709,ByronNelson1,SDR,60,1080,1920,720,1280
66,3500,HEVC,bt.709,ByronNelson1,SDR,60,1080,1920,1080,1920
67,5300,HEVC,bt.709,ByronNelson1,SDR,60,1080,1920,1080,1920
68,8000,HEVC,bt.709,ByronNelson1,SDR,60,1080,1920,1080,1920
69,1300,HEVC,bt.709,CFBNevadaNotreDame,SDR,29,1080,1920,720,1280
70,1300,HEVC,bt.709,ByronNelson1,SDR,29,1080,1920,540,960
71,850,HEVC,bt.709,ByronNelson1,SDR,29,1080,1920,360,640
72,2200,HEVC,bt.709,CFBNevadaNotreDame,SDR,29,1080,1920,720,1280
73,850,HEVC,bt.709,CFBNevadaNotreDame,SDR,29,1080,1920,720,1280
74,1300,HEVC,bt.709,CFBNevadaNotreDame,SDR,60,1080,1920,720,1280
75,2200,HEVC,bt.709,CFBNevadaNotreDame,SDR,60,1080,1920,720,1280
76,3500,HEVC,bt.709,CFBNevadaNotreDame,SDR,60,1080,1920,720,1280
77,5300,HEVC,bt.709,CFBNevadaNotreDame,SDR,60,1080,1920,1080,1920
78,5300,HEVC,bt.709,CFBNevadaNotreDame,SDR,60,1080,1920,720,1280
79,3500,HEVC,bt.709,CFBNevadaNotreDame,SDR,60,1080,1920,1080,1920
